id,xp,name,original_name,type
274,1.454,Pièce du Puzzle de la Griffe,Pièce du Puzzle de la Griffe,[object Object]
276,1.454,Pièce du Trésor du Badoul,Pièce du Trésor du Badoul,[object Object]
286,0.143,Levure de Boulanger,Levure de Boulanger,[object Object]
287,0.266,Graine de Sésame,Graine de Sésame,[object Object]
288,0.072,Graine de Tournesol,Graine de Tournesol,[object Object]
289,0.03,Blé,Blé,[object Object]
290,0.565,Champignon,Champignon,[object Object]
291,1.349,Poils de Mulounoké,Poils de Mulounoké,[object Object]
292,8.043,Testicules de Cocholou,Testicules de Cocholou,[object Object]
300,0.075,Graine de Pavot,Graine de Pavot,[object Object]
301,0.176,Plume de Tofu,Plume de Tofu,[object Object]
302,0.206,Tambour de Gobaladée,Tambour de Gobaladée,[object Object]
303,0.03,Bois de Frêne,Bois de Frêne,[object Object]
304,0.111,Cuir de Scélérat Strubien,Cuir de Scélérat Strubien,[object Object]
305,1.56,Dent de Wabbit,Dent de Wabbit,[object Object]
306,0.073,Fleur de Pissenlit Diabolique,Fleur de Pissenlit Diabolique,[object Object]
307,0.075,Ailes de Moskito,Ailes de Moskito,[object Object]
308,0.678,Coquille de Dragoeuf Calcaire,Coquille de Dragoeuf Calcaire,[object Object]
309,0.067,Pétale de Rose Démoniaque,Pétale de Rose Démoniaque,[object Object]
310,0.055,Os de Chafer,Os de Chafer,[object Object]
311,0.047,Eau Potable,Eau Potable,[object Object]
312,0.03,Fer,Fer,[object Object]
315,3.176,Diamant,Diamant,[object Object]
316,5.703,Émeraude,Émeraude,[object Object]
350,0.17,Argent,Argent,[object Object]
360,1.563,Oreilles du Tiwabbit,Oreilles du Tiwabbit,[object Object]
361,1.106,Cawotte,Cawotte,[object Object]
363,0.075,Peau de Larve Orange,Peau de Larve Orange,[object Object]
364,0.075,Peau de Larve Verte,Peau de Larve Verte,[object Object]
366,0.059,Bec du Tofu,Bec du Tofu,[object Object]
367,0.176,Œuf de Tofu,uf de Tofu,[object Object]
368,0.305,Gelée à la Fraise,Gelée à la Fraise,[object Object]
369,0.284,Gelée à la Menthe,Gelée à la Menthe,[object Object]
370,2.228,Gelée Bleuet Royale,Gelée Bleuet Royale,[object Object]
371,0.364,Sourcil de Moskito,Sourcil de Moskito,[object Object]
372,0.272,Bandeau du Black Tiwabbit,Bandeau du Black Tiwabbit,[object Object]
373,0.059,Intestin d'Araknosé,Intestin d'Araknosé,[object Object]
374,0.072,Langue d'Épouvanteur,Langue d'Épouvanteur,[object Object]
375,0.176,Dent de Tofu Mutant,Dent de Tofu Mutant,[object Object]
376,0.105,Aile du Tofu Maléfique,Aile du Tofu Maléfique,[object Object]
377,0.075,Épine du Champ Champ,Épine du Champ Champ,[object Object]
378,0.448,Sporme du Champ Champ,Sporme du Champ Champ,[object Object]
379,0.272,Pince de Crabe,Pince de Crabe,[object Object]
380,0.1,Menthe Sauvage,Menthe Sauvage,[object Object]
381,0.429,Fraise,Fraise,[object Object]
382,0.206,Longue-vue de Gob-Trotteur,Longue-vue de Gob-Trotteur,[object Object]
383,0.1,Corne de Boufton,Corne de Boufton,[object Object]
384,0.075,Laine de Bouftou,Laine de Bouftou,[object Object]
385,0.041,Bave de Bouftou,Bave de Bouftou,[object Object]
387,0.102,Défense du Sanglier,Défense du Sanglier,[object Object]
388,0.059,Poils d'Arakne Malade,Poils d'Arakne Malade,[object Object]
389,1.075,Huile de Tournesol Sauvage,Huile de Tournesol Sauvage,[object Object]
390,3.449,Huile de Noix,Huile de Noix,[object Object]
391,0.161,Noix de Cajou,Noix de Cajou,[object Object]
392,0.299,Noix de Pécan,Noix de Pécan,[object Object]
393,0.111,Gland,Gland,[object Object]
394,0.111,Noisette,Noisette,[object Object]
395,0.07,Trèfle à 5 feuilles,Trèfle à 5 feuilles,[object Object]
396,15.567,Huile de Palme,Huile de Palme,[object Object]
397,5.002,Huile de Koode,Huile de Koode,[object Object]
399,1.199,Huile de Sésame,Huile de Sésame,[object Object]
400,0.05,Orge,Orge,[object Object]
401,0.1,Houblon,Houblon,[object Object]
405,0.17,Malt,Malt,[object Object]
406,0.404,Estomac de Wo Wabbit,Estomac de Wo Wabbit,[object Object]
407,0.111,Pic de Prespic,Pic de Prespic,[object Object]
